Occ	Fréq	CoFréq	Indice	DistMoy
Fleurs	7	3	9.0461	2.3333333
mal	227	4	6.1127	1.25
américain	15	2	5.0384	1.0
bouquet	21	2	4.7379	4.5
auteur	562	3	3.1742	1.3333334
poète	468	2	2.0594	2.5
ait	488	2	2.0247	3.5
