Occ	Fréq	CoFréq	Indice	DistMoy
M	6751	28	25.4237	1.4642857
Fleurs	32	5	12.9763	5.8
Charles	230	7	12.8222	0.0
poésie	1141	7	7.9972	2.5714285
.	104774	49	5.8675	1.8367347
bohême	9	2	5.7538	3.0
extrait	25	2	4.834	3.0
inouïe	25	2	4.834	4.5
mal	1044	4	4.0087	4.5
Edgar	80	2	3.8149	1.0
suicide	94	2	3.6749	1.0
a	18364	13	3.515	1.9230769
tête	1442	4	3.4772	3.75
livre	2013	4	2.9403	3.25
eu	1112	3	2.6855	1.3333334
art	1222	3	2.5703	4.0
d'	40042	18	2.3584	5.1666665
écrire	522	2	2.2093	4.5
artiste	533	2	2.1918	1.0
