Occ	Fréq	CoFréq	Indice	DistMoy
M	3578	36	40.3833	1.3055556
Charles	198	11	20.9685	0.0
.	61347	63	14.8105	1.4920635
Fleurs	42	5	11.5587	5.4
Ch	11	3	8.2722	0.6666667
poésie	1052	7	7.1644	3.142857
Poe	4	2	6.214	4.0
Edgar	6	2	5.8163	4.5
sinistre	30	2	4.3561	1.5
mal	661	4	4.1619	3.0
Baudelaire	41	2	4.0818	4.0
Je	1987	5	3.3006	4.6
livre	1230	4	3.1434	3.25
I	142	2	3.0044	1.0
poésies	180	2	2.8013	1.5
vers	1814	4	2.5312	6.0
voulu	363	2	2.2075	1.5
