Occ	Fréq	CoFréq	Indice	DistMoy
Poe	158	25	48.6646	2.24
Edgar	111	17	33.081	2.6470587
Charles	297	19	29.3615	0.0
Leconte	181	12	19.0067	4.1666665
Lisle	174	11	17.2488	5.181818
Banville	178	11	17.1382	3.4545455
Gautier	411	11	13.1357	3.090909
Baudelaire	190	8	11.2962	3.0
Fleurs	29	5	10.4314	3.6
Rollinat	85	6	9.9819	5.3333335
Stendhal	128	6	8.9011	2.8333333
,	333767	358	7.9955	3.6675978
Théophile	189	6	7.8867	4.5
Lamartine	587	8	7.4542	3.0
estimant	10	3	7.2218	3.3333333
décadents	49	4	7.0854	3.0
Sainte-Beuve	585	7	6.2214	2.2857144
Musset	373	6	6.1522	2.0
Poë	22	3	6.1165	1.0
Cladel	33	3	5.57	1.0
Vigny	265	5	5.5531	2.4
Théodore	126	4	5.4323	1.0
rhapsode	4	2	5.4216	1.0
vers	3891	14	5.3316	3.0714285
Edgard	5	2	5.2	3.5
Parnasse	53	3	4.9424	3.0
influence	622	6	4.8857	2.5
Hugo	1445	8	4.5725	4.25
Correspondances	11	2	4.461	1.5
—	11643	24	4.4385	3.625
Balzac	858	6	4.1136	3.8333333
versificateur	18	2	4.0183	3.0
ressuscité	21	2	3.8815	3.0
Flaubert	602	5	3.8582	2.6
Léon	127	3	3.8082	3.0
posthumes	23	2	3.801	2.5
préfèrent	23	2	3.801	4.0
artificiels	24	2	3.7635	3.0
satanique	28	2	3.6278	1.0
mesuré	29	2	3.597	2.5
démence	33	2	3.4838	2.0
volume	425	4	3.3874	3.5
et	105430	116	3.3642	3.4051723
Shelley	43	2	3.253	2.5
admire	209	3	3.1762	2.6666667
direct	51	2	3.1051	1.5
sensuel	56	2	3.0242	0.5
poésie	1925	7	2.9879	4.714286
expression	982	5	2.9004	5.6
poésies	281	3	2.8074	3.6666667
Avec	295	3	2.7474	3.0
Maurice	87	2	2.6458	4.0
quelques-uns	346	3	2.552	4.3333335
mysticisme	99	2	2.5357	1.0
.	138493	140	2.5245	4.0642858
fleurs	368	3	2.4771	3.0
admirable	382	3	2.4319	4.0
ironique	115	2	2.4086	1.5
funèbre	116	2	2.4013	0.5
Wagner	116	2	2.4013	0.5
directe	120	2	2.3727	0.5
certains	821	4	2.3481	4.5
disait	852	4	2.292	0.0
VI	140	2	2.2428	4.5
crée	143	2	2.225	3.5
étranges	148	2	2.1962	1.5
affection	149	2	2.1906	0.5
M	8189	14	2.1474	3.9285715
nouvelles	491	3	2.1318	2.6666667
analogue	167	2	2.0953	2.0
de	186909	178	2.0437	4.1235957
décadence	185	2	2.0102	2.5
